OverallQual,GrLivArea,GarageCars,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition,SalePrice,Cluster
7,1710,2,856,856,2,8,2003,2003,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,BRKFACE,GD,TA,PCONC,GD,TA,NO,GLQ,UNF,GASA,EX,Y,SBRKR,GD,TYP,NAN,ATTCHD,RFN,TA,TA,Y,WD,NORMAL,208500,0
6,1262,2,1262,1262,2,6,1976,1976,RL,PAVE,REG,LVL,ALLPUB,FR2,GTL,FEEDR,NORM,1FAM,1STORY,GABLE,COMPSHG,NAN,TA,TA,CBLOCK,GD,TA,GD,ALQ,UNF,GASA,EX,Y,SBRKR,TA,TYP,TA,ATTCHD,RFN,TA,TA,Y,WD,NORMAL,181500,0
7,1786,2,920,920,2,6,2001,2002,RL,PAVE,IR1,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,BRKFACE,GD,TA,PCONC,GD,TA,MN,GLQ,UNF,GASA,EX,Y,SBRKR,GD,TYP,TA,ATTCHD,RFN,TA,TA,Y,WD,NORMAL,223500,0
7,1717,3,756,961,1,7,1915,1970,RL,PAVE,IR1,LVL,ALLPUB,CORNER,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,NAN,TA,TA,BRKTIL,TA,GD,NO,ALQ,UNF,GASA,GD,Y,SBRKR,GD,TYP,GD,DETCHD,UNF,TA,TA,Y,WD,ABNORML,140000,0
8,2198,3,1145,1145,2,9,2000,2000,RL,PAVE,IR1,LVL,ALLPUB,FR2,GTL,NORM,NORM,1FAM,2STORY,GABLE,COMPSHG,BRKFACE,GD,TA,PCONC,GD,TA,AV,GLQ,UNF,GASA,EX,Y,SBRKR,GD,TYP,TA,ATTCHD,RFN,TA,TA,Y,WD,NORMAL,250000,0
5,1362,2,796,796,1,5,1993,1995,RL,PAVE,IR1,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1.5FIN,GABLE,COMPSHG,NAN,TA,TA,WOOD,GD,TA,NO,GLQ,UNF,GASA,EX,Y,SBRKR,TA,TYP,NAN,ATTCHD,UNF,TA,TA,Y,WD,NORMAL,143000,0
8,1694,2,1686,1694,2,7,2004,2005,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,STONE,GD,TA,PCONC,EX,TA,AV,GLQ,UNF,GASA,EX,Y,SBRKR,GD,TYP,GD,ATTCHD,RFN,TA,TA,Y,WD,NORMAL,307000,0
7,2090,2,1107,1107,2,7,1973,1973,RL,PAVE,IR1,LVL,ALLPUB,CORNER,GTL,POSN,NORM,1FAM,2STORY,GABLE,COMPSHG,STONE,TA,TA,CBLOCK,GD,TA,MN,ALQ,BLQ,GASA,EX,Y,SBRKR,TA,TYP,TA,ATTCHD,RFN,TA,TA,Y,WD,NORMAL,200000,0
7,1774,2,952,1022,2,8,1931,1950,RM,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,ARTERY,NORM,1FAM,1.5FIN,GABLE,COMPSHG,NAN,TA,TA,BRKTIL,TA,TA,NO,UNF,UNF,GASA,GD,Y,FUSEF,TA,MIN1,TA,DETCHD,UNF,FA,TA,Y,WD,ABNORML,129900,0
5,1077,1,991,1077,1,5,1939,1950,RL,PAVE,REG,LVL,ALLPUB,CORNER,GTL,ARTERY,ARTERY,2FMCON,1.5UNF,GABLE,COMPSHG,NAN,TA,TA,BRKTIL,TA,TA,NO,GLQ,UNF,GASA,EX,Y,SBRKR,TA,TYP,TA,ATTCHD,RFN,GD,TA,Y,WD,NORMAL,118000,0
5,1040,1,1040,1040,1,5,1965,1965,RL,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,HIP,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,NO,REC,UNF,GASA,EX,Y,SBRKR,TA,TYP,NAN,DETCHD,UNF,TA,TA,Y,WD,NORMAL,129500,0
9,2324,3,1175,1182,3,11,2005,2006,RL,PAVE,IR1,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,2STORY,HIP,COMPSHG,STONE,EX,TA,PCONC,EX,TA,NO,GLQ,UNF,GASA,EX,Y,SBRKR,EX,TYP,GD,BUILTIN,FIN,TA,TA,Y,NEW,PARTIAL,345000,0
5,912,1,912,912,1,4,1962,1962,RL,PAVE,IR2,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,HIP,COMPSHG,NAN,TA,TA,CBLOCK,TA,TA,NO,ALQ,UNF,GASA,TA,Y,SBRKR,TA,TYP,NAN,DETCHD,UNF,TA,TA,Y,WD,NORMAL,144000,0
7,1494,3,1494,1494,2,7,2006,2007,RL,PAVE,IR1,LVL,ALLPUB,INSIDE,GTL,NORM,NORM,1FAM,1STORY,GABLE,COMPSHG,STONE,GD,TA,PCONC,GD,TA,AV,UNF,UNF,GASA,EX,Y,SBRKR,GD,TYP,GD,ATTCHD,RFN,TA,TA,Y,NEW,PARTIAL,279500,0
6,1253,1,1253,1253,1,5,1960,1960,RL,PAVE,IR1,LVL,ALLPUB,CORNER,GTL,NORM,NORM,1FAM,1STORY,HIP,COMPSHG,BRKFACE,TA,TA,CBLOCK,TA,TA,NO,BLQ,UNF,GASA,TA,Y,SBRKR,TA,TYP,FA,ATTCHD,RFN,TA,TA,Y,WD,NORMAL,157000,0
