OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,SalePrice,Cluster
7,1710,2,548,856,208500,0
6,1262,2,460,1262,181500,0
7,1786,2,608,920,223500,1
7,1717,3,642,756,140000,0
8,2198,3,836,1145,250000,1
5,1362,2,480,796,143000,0
8,1694,2,636,1686,307000,1
7,2090,2,484,1107,200000,1
7,1774,2,468,952,129900,0
5,1077,1,205,991,118000,2
5,1040,1,384,1040,129500,2
5,912,1,352,912,144000,2
7,1494,3,840,1494,279500,1
6,1253,1,352,1253,157000,2
7,854,2,576,832,132000,0
6,1004,2,480,1004,149000,0
5,1114,2,576,1114,159000,0
5,1339,1,294,1029,139000,2
7,1108,1,280,637,139400,2
8,1795,2,534,1777,230000,1
5,1060,2,572,1040,129900,0
5,1060,1,270,1060,154000,2
8,1600,3,890,1566,256300,1
5,900,2,576,900,134800,0
8,1704,3,772,1704,306000,1
5,1600,1,319,1484,207500,0
4,520,1,240,520,68500,2
4,1317,1,250,649,40000,2
5,1228,1,271,1228,149350,2
8,1234,2,484,1234,179900,1
5,1700,2,447,1398,165500,0
9,1561,2,556,1561,277500,1
8,2452,3,691,1117,309000,1
5,1097,2,672,1097,145000,0
5,1297,2,498,1297,153000,0
5,1057,1,246,1057,109000,2
6,1324,2,440,1088,160000,0
5,1328,1,308,1350,170000,2
5,884,2,504,840,144000,0
5,938,1,308,938,130250,2
5,1150,1,300,1150,141000,2
9,1752,2,576,1752,319900,1
7,2149,2,670,1434,239686,1
8,1656,3,826,1656,249700,1
4,1452,0,0,736,113000,2
5,955,1,386,955,127000,2
6,1470,2,388,794,177000,0
6,1176,2,528,816,114500,0
5,816,2,516,816,110000,0
5,1360,2,572,384,130000,0
6,1425,2,576,1425,180500,0
8,1739,2,480,970,172500,1
7,1720,2,565,860,196500,0
5,780,1,352,780,124900,2
6,1158,2,576,1158,158000,0
5,1111,1,288,530,101000,2
8,1370,2,484,1370,202500,1
7,1710,2,480,576,140000,0
7,2034,2,645,1057,219500,1
8,2473,3,852,1143,317000,1
7,2207,2,576,1947,180000,1
7,1479,2,558,1453,226000,1
4,747,1,220,747,80000,2
7,2287,2,667,1304,225000,1
4,845,2,360,845,129500,2
7,1718,2,427,832,185000,0
5,1086,2,490,1086,144900,0
3,1605,1,379,840,107400,2
4,988,1,297,462,91000,2
4,952,1,283,952,135750,2
5,1285,1,240,672,127000,2
4,1768,0,0,1768,136500,2
5,1230,2,440,440,110000,0
6,2142,1,509,896,193500,0
6,1337,2,405,1237,153500,0
8,1563,3,758,1563,245000,1
5,1065,2,461,1065,126500,0
7,1474,2,400,384,168500,0
8,2417,2,462,1288,260000,1
6,1560,2,400,684,174000,0
6,1224,2,528,612,164500,0
3,1526,0,0,1013,85000,2
4,990,0,0,990,123600,2
5,1235,2,480,1235,98600,0
5,964,2,432,876,163500,0
6,2291,2,506,1214,133900,0
6,1786,2,684,824,204750,0
6,1470,2,420,680,185000,0
7,1588,2,472,1588,214000,1
4,960,1,432,960,94750,2
5,835,1,366,458,83000,2
4,1225,0,0,950,128950,2
6,1610,2,480,1610,205000,1
6,1732,2,476,741,178000,0
7,1226,3,740,1226,198900,1
7,1818,1,240,1040,169500,2
8,1992,2,648,1053,250000,1
4,1047,1,273,641,100000,2
5,789,1,250,789,115000,2
5,1517,0,0,793,115000,2
6,1844,2,546,1844,190000,1
6,1855,1,325,994,136900,2
7,1430,2,400,384,180000,0
6,2259,2,450,1809,217000,1
6,2320,1,180,1028,259500,1
6,1458,2,440,729,176000,0
5,1092,1,288,1092,139000,2
5,1125,2,430,1125,155000,0
6,1456,2,390,728,163990,0
6,988,2,540,938,180000,0
4,1123,1,264,732,100000,2
6,1080,1,288,1080,136000,2
6,1199,2,530,1199,153900,0
6,1586,2,435,1362,181000,0
6,754,0,0,520,84500,2
6,958,2,440,1078,128000,0
5,840,0,0,672,87000,2
6,1348,2,453,660,155000,0
5,1053,2,750,1008,150000,0
7,2157,2,487,924,226000,1
6,2054,2,390,992,244000,1
5,1327,2,624,1063,150750,0
8,1296,2,471,1267,220000,1
5,1721,2,440,1461,180000,0
7,1682,2,530,1304,174000,1
