,customer_id,has_referred_friend,number_referrals,month_tenure,plan,phone_plan,has_multiple_lines,broadband_plan,broadband_type,online_security,online_backup,device_protection,premium_tech_support,unlimited_data,contract,paperless_billing,payment_method
0,2ab27f82-1483-4c01-be71-8a5a35ca25c6,Unknown,10,12.0,Plan D,No,No,Yes,Cable,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
1,3670f7ed-d951-4ddc-bd3a-a5d0955137ce,No,0,1.0,,Yes,No,Yes,DSL,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card
2,1105e862-2580-41b9-ab1c-9186d0e8012f,Yes,3,65.0,Plan B,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal
3,0ea49836-bb77-449a-8387-c8a28e007101,Unknown,7,61.0,Plan B,Yes,Yes,Yes,DSL,No,Yes,Yes,No,,One Year,Yes,Bank Withdrawal
4,c9255e46-634d-4cc1-befb-03decad03238,No,0,2.0,,Yes,No,No,,No,No,No,No,No,Month-to-Month,No,Credit Card
5,0576b442-f909-4e9c-9038-f271b9bc5679,No,0,1.0,,Yes,No,No,,No,No,No,No,No,Month-to-Month,No,Credit Card
6,64d24ab5-b50f-4ad6-a1c2-07f2a45a0137,Unknown,2,4.0,,Yes,No,Yes,Cable,Yes,Yes,No,No,Yes,Month-to-Month,No,Credit Card
7,b36e6713-d0af-4b3f-a487-9c139c9afbb8,No,0,37.0,,Yes,No,No,,No,No,No,No,No,Two Year,No,Credit Card
8,36b897f0-6ebe-492a-969b-eaee836e082d,No,0,3.0,Plan E,Yes,No,No,,No,No,No,No,No,Month-to-Month,No,Credit Card
9,ff58c8c3-c17b-49d6-8d5c-0dfabd28366d,No,0,42.0,,Yes,Yes,No,,No,No,No,No,No,One Year,No,Bank Withdrawal
10,c21c2e25-313a-4412-998f-915463d53232,Yes,2,28.0,,Yes,Yes,Yes,DSL,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal
11,f904a841-2317-46c8-a973-0a729af3e0e1,Unknown,4,59.0,Plan B,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Two Year,Yes,Credit Card
12,9f6b3ad6-5d5f-4db6-9aed-c2055a103c35,Unknown,10,22.0,Plan D,Yes,No,Yes,DSL,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal
13,668dd5e8-8149-4dd7-bed3-574554a742c2,No,0,6.0,Plan E,Yes,No,Yes,DSL,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal
14,17f6a8dd-e0c1-4254-9882-8e4b2311bf96,No,0,47.0,Plan B,No,No,Yes,DSL,Yes,Yes,No,Yes,Yes,One Year,No,Credit Card
15,067ae2b2-dd44-42de-b60c-11922ebb5909,Yes,5,13.0,Plan D,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,One Year,No,Bank Withdrawal
16,0b58ef7b-fa97-4ab6-bf6f-9eed8e6f9567,No,0,59.0,,Yes,Yes,No,,No,No,No,No,No,Two Year,No,Credit Card
17,a950989e-4d64-416b-a775-5659e08b787e,No,0,11.0,Plan D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
18,d6ad9fb6-1331-4913-9d58-9b8f2d22b7cf,No,0,19.0,,Yes,No,No,,No,No,No,No,No,Two Year,Yes,Credit Card
19,c2244b74-002a-4048-b773-fb68cb4f5d13,No,0,54.0,,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal
20,8b5de6e8-c440-47eb-9f37-7a0785286c0d,No,0,65.0,,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,One Year,Yes,Bank Withdrawal
21,036596c9-a3f9-44a0-b6f6-0476913abdfb,No,0,33.0,Plan C,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Month-to-Month,Yes,
22,1c3fb805-5d52-40c7-b638-2d0abe0bc260,Unknown,7,38.0,Plan C,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal
23,d0f09630-18b2-4aa2-8f44-9eb6c0a2be66,Unknown,4,10.0,Plan E,Yes,No,No,,No,No,No,No,No,Two Year,No,Credit Card
24,1860e91a-43bc-47a4-975f-ab04aa804bc0,Unknown,7,35.0,,Yes,No,No,,No,No,No,No,No,Two Year,No,Credit Card
25,a1a27848-c724-4d14-988d-f71ce803e968,No,0,24.0,,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
26,da4bbc8e-c2ca-4fc8-b2fe-e10e102e9fbe,Unknown,6,23.0,Plan D,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card
27,c6dcec3c-31aa-4962-82a3-f7f022dfad21,Unknown,10,23.0,,Yes,No,No,,No,No,No,No,No,Two Year,No,Credit Card
28,03ef1e5c-e8cd-4667-bc6a-90ce7a8941bb,Unknown,1,64.0,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card
29,862f6f5c-9e47-47cd-a260-913bc4ce5fcc,Yes,5,51.0,Plan B,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Two Year,No,Credit Card
30,100460e1-6911-4b29-a79b-75b768cb4236,Yes,1,5.0,,Yes,No,No,,No,No,No,No,No,One Year,No,Bank Withdrawal
31,f9b09e1c-983f-439d-9a58-da3ed3050f91,No,0,23.0,,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card
32,d8ae86eb-857b-4da7-a177-fdf166833802,Unknown,5,17.0,,Yes,Yes,Yes,DSL,Yes,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal
33,d9daacf0-a384-47e2-85d3-2ef2e16b9318,Unknown,8,72.0,,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal
