Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1.0,60,rl,65.0,8450.0,pave,missing,reg,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,2story,7,5.0,2003.0,2003.0,gable,compshg,vinylsd,vinylsd,brkface,196.0,gd,ta,pconc,gd,ta,no,glq,706.0,unf,0,150.0,856.0,gasa,ex,y,sbrkr,856.0,854,0,1710.0,1.0,0,2.0,1.0,3.0,1,gd,8,typ,0.0,missing,attchd,2003.0,rfn,2.0,548.0,ta,ta,y,0,61,0,0,0,0,missing,missing,missing,0,2.0,2008.0,wd,normal,208500.0
2.0,20,rl,80.0,9600.0,pave,missing,reg,lvl,allpub,fr2,gtl,veenker,feedr,norm,1fam,1story,6,7.5,1976.0,1976.0,gable,compshg,metalsd,metalsd,missing,0.0,ta,ta,cblock,gd,ta,gd,alq,978.0,unf,0,284.0,1262.0,gasa,ex,y,sbrkr,1262.0,0,0,1262.0,0.0,0,2.0,0.0,3.0,1,ta,6,typ,1.0,ta,attchd,1976.0,rfn,2.0,460.0,ta,ta,y,298,0,0,0,0,0,missing,missing,missing,0,5.0,2007.0,wd,normal,181500.0
3.0,60,rl,68.0,11250.0,pave,missing,ir1,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,2story,7,5.0,2001.0,2002.0,gable,compshg,vinylsd,vinylsd,brkface,162.0,gd,ta,pconc,gd,ta,mn,glq,486.0,unf,0,434.0,920.0,gasa,ex,y,sbrkr,920.0,866,0,1786.0,1.0,0,2.0,1.0,3.0,1,gd,6,typ,1.0,ta,attchd,2001.0,rfn,2.0,608.0,ta,ta,y,0,42,0,0,0,0,missing,missing,missing,0,9.0,2008.0,wd,normal,223500.0
4.0,70,rl,60.0,9550.0,pave,missing,ir1,lvl,allpub,corner,gtl,crawfor,norm,norm,1fam,2story,7,5.0,1915.0,1970.0,gable,compshg,wd sdng,wd shng,missing,0.0,ta,ta,brktil,ta,gd,no,alq,216.0,unf,0,540.0,756.0,gasa,gd,y,sbrkr,961.0,756,0,1717.0,1.0,0,1.0,0.0,3.0,1,gd,7,typ,1.0,gd,detchd,1998.0,unf,3.0,642.0,ta,ta,y,0,35,0,0,0,0,missing,missing,missing,0,2.0,2006.0,wd,abnorml,140000.0
5.0,60,rl,84.0,14260.0,pave,missing,ir1,lvl,allpub,fr2,gtl,noridge,norm,norm,1fam,2story,8,5.0,2000.0,2000.0,gable,compshg,vinylsd,vinylsd,brkface,350.0,gd,ta,pconc,gd,ta,av,glq,655.0,unf,0,490.0,1145.0,gasa,ex,y,sbrkr,1145.0,1053,0,2198.0,1.0,0,2.0,1.0,4.0,1,gd,9,typ,1.0,ta,attchd,2000.0,rfn,3.0,836.0,ta,ta,y,192,84,0,0,0,0,missing,missing,missing,0,12.0,2008.0,wd,normal,250000.0
6.0,50,rl,85.0,14115.0,pave,missing,ir1,lvl,allpub,inside,gtl,mitchel,norm,norm,1fam,1.5fin,5,5.0,1993.0,1995.0,gable,compshg,vinylsd,vinylsd,missing,0.0,ta,ta,other,gd,ta,no,glq,732.0,unf,0,64.0,796.0,gasa,ex,y,sbrkr,796.0,566,0,1362.0,1.0,0,1.0,1.0,1.0,1,ta,5,typ,0.0,missing,attchd,1993.0,unf,2.0,480.0,ta,ta,y,40,30,0,0,0,0,missing,mnprv,shed,0,10.0,2009.0,wd,normal,143000.0
7.0,20,rl,75.0,10084.0,pave,missing,reg,lvl,allpub,inside,gtl,somerst,norm,norm,1fam,1story,8,5.0,2004.0,2005.0,gable,compshg,vinylsd,vinylsd,stone,186.0,gd,ta,pconc,ex,ta,av,glq,1369.0,unf,0,317.0,1686.0,gasa,ex,y,sbrkr,1694.0,0,0,1694.0,1.0,0,2.0,0.0,3.0,1,gd,7,typ,1.0,gd,attchd,2004.0,rfn,2.0,636.0,ta,ta,y,255,57,0,0,0,0,missing,missing,missing,0,8.0,2007.0,wd,normal,307000.0
8.0,60,rl,69.0,10382.0,pave,missing,ir1,lvl,allpub,corner,gtl,nwames,posn,norm,1fam,2story,7,6.0,1973.0,1973.0,gable,compshg,hdboard,hdboard,stone,240.0,ta,ta,cblock,gd,ta,mn,alq,859.0,blq,0,216.0,1107.0,gasa,ex,y,sbrkr,1107.0,983,0,2090.0,1.0,0,2.0,1.0,3.0,1,ta,7,typ,2.0,ta,attchd,1973.0,rfn,2.0,484.0,ta,ta,y,235,170,0,0,0,0,missing,missing,shed,0,11.0,2009.0,wd,normal,200000.0
9.0,50,rm,51.0,6120.0,pave,missing,reg,lvl,allpub,inside,gtl,oldtown,artery,norm,1fam,1.5fin,7,5.0,1931.0,1950.0,gable,compshg,brkface,wd shng,missing,0.0,ta,ta,brktil,ta,ta,no,unf,0.0,unf,0,952.0,952.0,gasa,gd,y,fusef,1022.0,752,0,1774.0,0.0,0,2.0,0.0,2.0,1,ta,8,min1,2.0,ta,detchd,1931.0,unf,2.0,468.0,fa,ta,y,90,0,0,0,0,0,missing,missing,missing,0,4.0,2008.0,wd,abnorml,129900.0
10.0,145,rl,50.0,7420.0,pave,missing,reg,lvl,allpub,corner,gtl,brkside,artery,other,2fmcon,1.5unf,5,6.0,1939.0,1950.0,gable,compshg,metalsd,metalsd,missing,0.0,ta,ta,brktil,ta,ta,no,glq,851.0,unf,0,140.0,991.0,gasa,ex,y,sbrkr,1077.0,0,0,1077.0,1.0,0,1.0,0.0,2.0,1,ta,5,typ,2.0,ta,attchd,1939.0,rfn,1.0,205.0,gd,ta,y,0,4,0,0,0,0,missing,missing,missing,0,1.0,2008.0,wd,normal,118000.0
